id,name,doi,paragraph,authors_oa,authors,field/topic/keywords,url (ground truth),reference,annotator,comments,candidate_urls,probability (ground truth)
47,pandas,10.1099/acmi.0.000129,"Analysis was performed in Python, utilizing the Biopython [7]⁠ and pandas [8]⁠ libraries.","https://openalex.org/A5075617803,https://openalex.org/A5001914734,https://openalex.org/A5075853590","DJ Farrell,Joseph Crispell,Stephen V. Gordon","Mycobacterium bovis,Genome,Biology,Gene,Genetics,Reference genome,Whole genome sequencing,Mycobacterium tuberculosis,Annotation,Computational biology",https://github.com/pandas-dev/pandas,,DanielGarijo,,https://github.com/pandas-dev/pandas,1
48,pandas,10.1107/S2053273319011446,"The pairing of acentric anomalous reflections was performed by an algorithm developed in the Python programming language with the libraries cctbx, pandas, NumPy and SciPy","https://openalex.org/A5082282287,https://openalex.org/A5059803104","María-José García-Bonete,Gergely Katona","Bayesian probability,Phaser,Diffraction",https://github.com/pandas-dev/pandas,,DanielGarijo,,https://github.com/pandas-dev/pandas,1
49,pandas,10.1107/S2053273319011446,The pandas library was used to store and search among the large number of paired and unpaired reflection data obtained from the different crystals and data collection methods.,"https://openalex.org/A5082282287,https://openalex.org/A5059803104","María-José García-Bonete,Gergely Katona","Bayesian probability,Phaser,Diffraction",https://github.com/pandas-dev/pandas,,DanielGarijo,,https://github.com/pandas-dev/pandas,1
50,pandas,10.1107/S2059798317007707,"The pandas software library (http://pandas.pydata.org/) was used for statistical analyses and the mmLib library for the superimpositions of dinucleotides (Painter & Merritt, 2004 ▸)","https://openalex.org/A5040274135,https://openalex.org/A5065806622,https://openalex.org/A5080123389","Tomoko Sunami,Toshiyuki Chatake,Hidetoshi Kono","DNA,Crystallography,Electron density,Polymorphism (computer science)",https://github.com/pandas-dev/pandas,,DanielGarijo,,https://github.com/pandas-dev/pandas,1
51,pandas,10.1186/s40478-018-0574-5,"The network was generated using the python programming language (Python Software Foundation), and the networkx, numpy, and pandas python packages.","https://openalex.org/A5045188566,https://openalex.org/A5032883161,https://openalex.org/A5050556672,https://openalex.org/A5084161145,https://openalex.org/A5065701174,https://openalex.org/A5078791544,https://openalex.org/A5007396568,https://openalex.org/A5024970198,https://openalex.org/A5001742278,https://openalex.org/A5003428827,https://openalex.org/A5045906008,https://openalex.org/A5071579004","Brandon F. Maziuk,Daniel J. Apicco,Anna Lourdes Cruz,Lulu Jiang,Peter E.A. Ash,Edroaldo Lummertz da Rocha,Cheng Zhang,Wen H. Yu,John D. Leszyk,Jose F. Abisambra,Li Hu,Benjamin Wolozin","Tauopathy,Interactome,Stress granule,RNA-binding protein,Tau protein",https://github.com/pandas-dev/pandas,,DanielGarijo,,https://github.com/pandas-dev/pandas,1
52,PANDA (Pipeline for Analyzing braiN Diffusion imAges),10.3389/fncom.2021.659838,"In this study, PANDA (Pipeline for Analyzing braiN Diffusion imAges) (Cui et al., 2013), a toolkit based on MATLAB (R2009b; MathWorks) and FSL that integrates several processing steps, was used to process the data and construct the network","https://openalex.org/A5015195367,https://openalex.org/A5011477209,https://openalex.org/A5021471823,https://openalex.org/A5010117357,https://openalex.org/A5048389767,https://openalex.org/A5017998243","Qi Wang,Siwei Chen,He Wang,Luzeng Chen,Ying Sun,Yan Ge","Betweenness centrality,Centrality,Diffusion MRI,Neurology,Neuroimaging",https://github.com/pandas-dev/pandas,,DanielGarijo,,https://github.com/pandas-dev/pandas,1
53,panda,10.1371/journal.pone.0228422,1: Load the data using read_csv() function of panda library,"https://openalex.org/A5035552325,https://openalex.org/A5020643085","Md. Raihan-Al-Masud,M. Rubaiyat Hossain Mondal","Support vector machine,Artificial intelligence,Feature selection,Computer science,Machine learning,Pattern recognition (psychology),Preprocessor",https://github.com/pandas-dev/pandas,,DanielGarijo,,https://github.com/pandas-dev/pandas,1
54,panda,10.3389/fnbeh.2021.709775,"The following data analysis and visualization was performed with R (R Core Team, 2020; version 3.4.2) and Python (version 3.8), using the panda package (version 1.2.3).","https://openalex.org/A5010044381,https://openalex.org/A5058570603,https://openalex.org/A5010834901,https://openalex.org/A5058162771,https://openalex.org/A5061905139,https://openalex.org/A5064129096,https://openalex.org/A5043551203","Pia Kahnau,Anja Guenther,Marcus N. Boon,Janine Denise Terzenbach,Eric Hanitzsch,Lars Lewejohann,Vera Brust","Cognition,Cage",https://github.com/pandas-dev/pandas,,DanielGarijo,,https://github.com/pandas-dev/pandas,1
55,panda,10.3389/fcvm.2021.619386,"We used Python version 3.7 as the basic language of the whole model and call numpy, panda, sklearn, xgboost, and Matplotlib libraries to process and model the data","https://openalex.org/A5064560407,https://openalex.org/A5062802948,https://openalex.org/A5061511972,https://openalex.org/A5033739869,https://openalex.org/A5052895969,https://openalex.org/A5021948453,https://openalex.org/A5001487780,https://openalex.org/A5010254971,https://openalex.org/A5090414029,https://openalex.org/A5087757082,https://openalex.org/A5016028341,https://openalex.org/A5029444990","Dongmei Wu,Qiuju Yang,Baohua Su,Hao Jia,MA Hui-rong,Weilan Yuan,Junhui Gao,Feifei Ding,Yue Xu,Huifeng Wang,Jiangman Zhao,Bingqiang Li","Medicine,Internal medicine,Coronary artery disease,Asymptomatic,Diabetes mellitus,Risk factor,Odds ratio,Triglyceride,Cardiology",https://github.com/pandas-dev/pandas,,DanielGarijo,,https://github.com/pandas-dev/pandas,1
56,panda,10.3389/fphys.2017.00354,"Bio-analysis was performed under Ubuntu 16.04 LTS Docker image (Hung et al., 2016) within a custom Python (Python Software Foundation, 2015) scripts using the packages biopython, pyexcel, csv, collection, panda, and matplotlib and R v3.3.1 (R Core Team, 2016) scripts within the ggplot2 and plotrix libraries","https://openalex.org/A5030475841,https://openalex.org/A5012278873,https://openalex.org/A5039846752,https://openalex.org/A5045094860,https://openalex.org/A5024864467,https://openalex.org/A5075295489,https://openalex.org/A5056969160,https://openalex.org/A5061325377,https://openalex.org/A5002649530,https://openalex.org/A5041196009","Rahim Dad Brohi,Li Wang,Najla Ben Hassine,Jiang Cao,Hira Sajjad Talpur,Di Wu,Chun–Jie Huang,Zia Ur Rehman,Dinesh Bhattarai,Li‐Jun Huo","SUMO protein,Acrosome,Sperm,Cell biology,Sperm motility,Biology,Capacitation,Motility,Acrosome reaction",https://github.com/pandas-dev/pandas,,DanielGarijo,,https://github.com/pandas-dev/pandas,1
57,panda,10.1186/s13073-021-00904-z,"Other requirements: PLINK v1.9; R packages: shiny, shinyjs, DT, RSQLite, ggplot2, heatmaply, plotly, future; Python packages: panda, scipy, joblib, tqdm, sqlite","https://openalex.org/A5050576391,https://openalex.org/A5012522200,https://openalex.org/A5034504298,https://openalex.org/A5046381871,https://openalex.org/A5056639842,https://openalex.org/A5043654825,https://openalex.org/A5041138720,https://openalex.org/A5007702905,https://openalex.org/A5015577952,https://openalex.org/A5018629539,https://openalex.org/A5033033452,https://openalex.org/A5025823000,https://openalex.org/A5023687769,https://openalex.org/A5007833163,https://openalex.org/A5058776349,https://openalex.org/A5085654664","Liuyang Wang,Thomas J Balmat,Alejandro L. Antonia,Florica J. Constantine,Ricardo Henao,Thomas W. Burke,Andy Ingham,Micah T. McClain,Ephraim L. Tsalik,Emily R Ko,Geoffrey S. Ginsburg,Mark DeLong,Xiling Shen,Christopher W. Woods,Elizabeth R. Hauser,Dennis C. Ko","Genome-wide association study,Genetic architecture,Biology,Computational biology,Genetic association",https://github.com/ZaixuCui/PANDA,,DanielGarijo,,https://github.com/ZaixuCui/PANDA,1
58,PANDA,10.18632/aging.102901,"ucl.ac.uk/spm/software/spm12) running on MATLAB version 2016b, the PANDA toolbox (https://www.nitrc","https://openalex.org/A5048455627,https://openalex.org/A5017468786,https://openalex.org/A5035796732,https://openalex.org/A5040897654,https://openalex.org/A5030034440,https://openalex.org/A5052836448,https://openalex.org/A5044626751,https://openalex.org/A5073568638","Cui Zhao,Ying Liang,Ting Cui,Yihua Zhong,Xianglong Li,Jing Wei,Chunlin Li,Xu Zhang","White matter,Cognition,White (mutation)",https://github.com/ZaixuCui/PANDA,,DanielGarijo,,https://github.com/ZaixuCui/PANDA,1
59,PANDA,10.18632/aging.102023,"The preprocessing of diffusion-weighted images was performed using the functional magnetic resonance imaging of the brain (FMRIB) Software Library in Version 5.0 (FSL, [65]), diffusion toolkit [66], and PANDA [67].","https://openalex.org/A5007477535,https://openalex.org/A5024646528,https://openalex.org/A5025660060,https://openalex.org/A5062169644","Junhua Li,Rafael Romero-García,John Suckling,Lei Feng","Default mode network,Neuroimaging,Neuropsychology,Functional connectivity",https://github.com/ZaixuCui/PANDA,,DanielGarijo,,https://github.com/ZaixuCui/PANDA,1
60,PANDA,10.14336/AD.2019.0929,Deterministic tractography was performed using the FACT (Fiber Assignment by Continuous Tracking) algorithm in PANDA (www.nitrc.org/projects/panda; version 1.3.1) [33] and ended at voxels with FA < 0.2 or a tract turning angle of < 45˚ [34],"https://openalex.org/A5082176912,https://openalex.org/A5000253414,https://openalex.org/A5049845572,https://openalex.org/A5090178654,https://openalex.org/A5054816249,https://openalex.org/A5004614278,https://openalex.org/A5064987033,https://openalex.org/A5031377834,https://openalex.org/A5060367640,https://openalex.org/A5066059785","Mengsha Yao,Liche Zhou,Yuyan Tan,Hong Jiang,Zhi‐Chun Chen,Lin Zhu,Ningdi Luo,WU Quan-zhou,Wenyan Kang,Jun Liu","Insula,Gait,Medicine,Supplementary motor area,Berg Balance Scale,Physical medicine and rehabilitation,Parkinson's disease,Superior frontal gyrus,Fractional anisotropy",https://github.com/ZaixuCui/PANDA,,DanielGarijo,,https://github.com/ZaixuCui/PANDA,1
61,PANDA,10.1186/s13195-018-0413-8,We carried out probabilistic fiber tractography on these seeds using the DTI analysis software PANDA (Additional file 1: Figure S2),"https://openalex.org/A5010510030,https://openalex.org/A5002618180,https://openalex.org/A5089330380,https://openalex.org/A5063016255,https://openalex.org/A5074546490,https://openalex.org/A5023358053,https://openalex.org/A5050763071,https://openalex.org/A5008989080,https://openalex.org/A5022789521,https://openalex.org/A5032992099","Ashwati Vipin,Yng Miin Loke,Siwei Liu,Saima Hilal,Hee Youn Shim,Xin Xu,Boon Yeow Tan,Narayanaswamy Venketasubramanian,Christopher Chen,Juan Zhou","Default mode network,Neuroscience,Psychology,Functional magnetic resonance imaging",https://github.com/ZaixuCui/PANDA,,DanielGarijo,,https://github.com/ZaixuCui/PANDA,1
62,PANDA,10.1186/1471-2105-9-182,The PANDA sequences that are labeled as predicted proteins (i.e,"https://openalex.org/A5015513138,https://openalex.org/A5027145422,https://openalex.org/A5028284504","Shibu Yooseph,Weizhong Li,Granger Sutton","Metagenomics,Cluster analysis,Computational biology,Identification (biology),Biology",https://github.com/ZaixuCui/PANDA,,DanielGarijo,,https://github.com/ZaixuCui/PANDA,1
63,PANDA,10.1186/1471-2105-9-182,"Of these 2,464,046 sequences, 1,528,382 (62%) are marked as redundant, with 1,353,885 (55%) being marked as redundant by existing cd-hit representatives in the CAMERA clusters and the remaining being marked as redundant by other PANDA sequences","https://openalex.org/A5015513138,https://openalex.org/A5027145422,https://openalex.org/A5028284504","Shibu Yooseph,Weizhong Li,Granger Sutton","Metagenomics,Cluster analysis,Computational biology,Identification (biology),Biology",https://github.com/ZaixuCui/PANDA,,DanielGarijo,,https://github.com/ZaixuCui/PANDA,1
64,activity,10.3390/ani9121071,"Thus, we fitted non-parametric circular kernel density models using the packages “activity” (Version 1.1) and “overlap” (Version 0.3.2) [72,73], in the statistical software R (version 3.6.1) [74]","https://openalex.org/A5027431199,https://openalex.org/A5071393763,https://openalex.org/A5028710085,https://openalex.org/A5026397262,https://openalex.org/A5021384155,https://openalex.org/A5088579118","Yixin Chen,Zhishu Xiao,Long Zhang,Xinwen Wang,Ming Li,Zuofu Xiang","Rhythm,Ecology",https://cran.r-project.org/package=activity,https://cran.r-project.org/web/packages/activity/,DanielGarijo,,https://cran.r-project.org/package=activity,1
65,activity,10.3390/ani11020562,"For each pairwise comparison between species, an additional bootstrap analysis was performed to estimate the probability that two sets of circular observations belonged to the same distribution, using the package activity [17] in R 3.5.1","https://openalex.org/A5071805493,https://openalex.org/A5008211255,https://openalex.org/A5004876361,https://openalex.org/A5029572169,https://openalex.org/A5012083028,https://openalex.org/A5024847509,https://openalex.org/A5017168743,https://openalex.org/A5007272602","Andrea Viviano,Emiliano Mori,Niccolò Fattorini,Giuseppe Mazza,Lorenzo Lazzeri,Alessandra Panichi,Luigi Strianese,Walid Fathy Mohamed","Capreolus,Vulpes,Roe deer,Predation,Marten,Interspecific competition,Ecology,Biology",https://cran.r-project.org/package=activity,https://cran.r-project.org/web/packages/activity/,DanielGarijo,,https://cran.r-project.org/package=activity,1
66,activity,10.1186/s12870-015-0666-3,Results This report demonstrates that a respiration activity-monitoring system (RAMOS) can identify compounds with defense priming-inducing activity in parsley cell suspension in culture,"https://openalex.org/A5055864066,https://openalex.org/A5012890554,https://openalex.org/A5024967009,https://openalex.org/A5024060286,https://openalex.org/A5033821495,https://openalex.org/A5040992188,https://openalex.org/A5022603631","Jana Viola Schilling,Britta Schillheim,Stefan Mahr,Yannik Reufer,Sandi Sanjoyo,Uwe Conrath,Jochen Büchs","Elicitor,Biology,Salicylic acid,Priming (agriculture),Systemic acquired resistance,Plant defense against herbivory,Abiotic component,Plant cell",https://cran.r-project.org/package=activity,,DanielGarijo,,https://cran.r-project.org/package=activity,1
67,activity,10.1371/journal.pone.0256876,We used the function compareCkern in package activity [52] to test whether activity patterns were significantly different for the same species across different sites; for different species at the same site; and between males and females of the same species at the same site (for lion and leopard only).,"https://openalex.org/A5063845595,https://openalex.org/A5068437936,https://openalex.org/A5002512409,https://openalex.org/A5016989139,https://openalex.org/A5024099614,https://openalex.org/A5032169337,https://openalex.org/A5062119084,https://openalex.org/A5080860518,https://openalex.org/A5082902541","Charlotte E. Searle,Josephine Smit,Jeremy J. Cusack,Paolo Strampelli,A. Grau,Lameck Mkuburo,David W. Macdonald,Andrew J. Loveridge,Amy Dickman","Panthera,Leopard,Carnivore,Guild,Crocuta crocuta,Ecology,Sympatric speciation",https://cran.r-project.org/package=activity,https://cran.r-project.org/web/packages/activity/,DanielGarijo,,https://cran.r-project.org/package=activity,1
68,activity,10.1038/s41598-021-99341-6,We plotted the activity patterns of each species using a von Mises kernel using the package activity in R version 4.0.2,"https://openalex.org/A5081330676,https://openalex.org/A5017686500,https://openalex.org/A5051640150,https://openalex.org/A5060207186,https://openalex.org/A5060221612,https://openalex.org/A5034380720,https://openalex.org/A5079436360,https://openalex.org/A5060955135,https://openalex.org/A5070122550,https://openalex.org/A5059213759","Miyabi Nakabayashi,Tomoko Kanamori,Aoi Matsukawa,Joseph Tangah,Augustine Tuuga,Peter Malim,Henry Bernard,Abdul Hamid Ahmad,Ikki Matsuda,Goro Hanya","Sympatric speciation,Carnivore,Nocturnal,Threatened species,Niche differentiation,Biology,Ecology",https://cran.r-project.org/package=activity,https://cran.r-project.org/web/packages/activity/,DanielGarijo,,https://cran.r-project.org/package=activity,1
69,sets,10.1186/s12859-018-2557-8,"The NIPTeR package requires R 3.1.0 or higher, the stats and sets packages as available on CRAN, and the RSamtools and S4Vectors Bioconductor packages.","https://openalex.org/A5076310194,https://openalex.org/A5079006873,https://openalex.org/A5038635167,https://openalex.org/A5018732365,https://openalex.org/A5028952389,https://openalex.org/A5081115482,https://openalex.org/A5059939296,https://openalex.org/A5052368642","Lennart Johansson,Hendrik A de Weerd,Eddy N. de Boer,Freerk van Dijk,Gerard J. te Meerman,Rolf H. Sijmons,Birgit Sikkema‐Raddatz,Morris A. Swertz","Computer science,Trisomy,Workflow",https://cran.r-project.org/package=sets,,DanielGarijo,,https://cran.r-project.org/package=sets,1
70,Rhino,10.1186/s41205-017-0024-1,"Quick training: Fundamental knowledge for utilizing the parametric model was provided in a one-on-one tutorial, including viewport navigation, poly-line drawing in Rhino and object setting in Grasshopper","https://openalex.org/A5020416121,https://openalex.org/A5073436917","Jianyou Li,Hiroya Tanaka","CAD,Parametric statistics,Workflow,Parametric design,Computer science,Process (computing)",https://www.rhino3d.com/,,DanielGarijo,Website,https://www.rhino3d.com/,1
71,Rhino,10.1186/s41205-017-0024-1,"Moreover, its algorithm plug-in, Grasshopper 3D, is a widespread Visual Programming Language among parametric modeling tools [31–34], and it is complementary to the flexible property of Rhino 3D","https://openalex.org/A5020416121,https://openalex.org/A5073436917","Jianyou Li,Hiroya Tanaka","CAD,Parametric statistics,Workflow,Parametric design,Computer science,Process (computing)",https://www.rhino3d.com/,,DanielGarijo,Website,https://www.rhino3d.com/,1
72,Rhino,10.1186/s41205-017-0024-1,"In the steps described below, we utilized Rhino 3D to simulate the modeling sequence directly and transferred it to an automatic parametric model via the corresponding components (graphic icon showing the program command) in Grasshopper 3D.","https://openalex.org/A5020416121,https://openalex.org/A5073436917","Jianyou Li,Hiroya Tanaka","CAD,Parametric statistics,Workflow,Parametric design,Computer science,Process (computing)",https://www.rhino3d.com/,,DanielGarijo,Website,https://www.rhino3d.com/,1
73,Rhino,10.1186/s41205-017-0024-1,"All menu, toolbars and panels in the Rhino interface were removed, and only 4 viewports and the Lines tool are required for clinician to draw a quadrangle and evaluate the model state visually (Fig. 9a)","https://openalex.org/A5020416121,https://openalex.org/A5073436917","Jianyou Li,Hiroya Tanaka","CAD,Parametric statistics,Workflow,Parametric design,Computer science,Process (computing)",https://www.rhino3d.com/,,DanielGarijo,Website,https://www.rhino3d.com/,1
74,Rhino,10.1186/s41205-017-0024-1,"Then, the computer-based tutorial was provided one-on-one, and the necessary operational knowledge of the Rhino and Grasshopper programs was summarized as the following points:","https://openalex.org/A5020416121,https://openalex.org/A5073436917","Jianyou Li,Hiroya Tanaka","CAD,Parametric statistics,Workflow,Parametric design,Computer science,Process (computing)",https://www.rhino3d.com/,,DanielGarijo,Website,https://www.rhino3d.com/,1
75,Rhino,10.1186/s41205-017-0024-1,"Basic viewport navigation in Rhino: The viewpoint operations include: zoom in/out, rotate view, pan move and switch viewport","https://openalex.org/A5020416121,https://openalex.org/A5073436917","Jianyou Li,Hiroya Tanaka","CAD,Parametric statistics,Workflow,Parametric design,Computer science,Process (computing)",https://www.rhino3d.com/,,DanielGarijo,Website,https://www.rhino3d.com/,1
76,rhino,10.1038/s41598-017-07644-4,"Thereafter, a rhino script was developed which simulated the femoral movement until a collision occurred between the components or bones following the rotation through the medial-lateral axis","https://openalex.org/A5059801369,https://openalex.org/A5071601723,https://openalex.org/A5052801163,https://openalex.org/A5050306223,https://openalex.org/A5026110715","Arnab Palit,Mark A. Williams,Glen A. Turley,Tobias Renkawitz,Markus Weber","Range of motion,Femur,Medicine,Implant",https://www.rhino3d.com/,,DanielGarijo,Website,https://www.rhino3d.com/,1
77,Rhinoceros,10.1186/s41205-019-0048-9,"Non-anatomical geometries were designed on the 3D computer graphics and computer-aided design application software Rhinoceros, Robert McNeel & Associates, Educational edition, version 4.0","https://openalex.org/A5054244029,https://openalex.org/A5055760543,https://openalex.org/A5012687061,https://openalex.org/A5022182240,https://openalex.org/A5074818367","Ruth G Nagassa,Paul G. McMenamin,Justin W. Adams,Michelle R. Quayle,Jeffrey V. Rosenfeld","Aneurysm,Middle cerebral artery,3d printed",https://www.rhino3d.com/,,DanielGarijo,Website,https://www.rhino3d.com/,1
78,Rhinoceros,10.1186/s41205-018-0027-6,"After import into Rhinoceros 3D, the scanned limb model must be manually placed along X-axis of the software coordinate system with the palm facing up/down, as depicted in Fig. 4(a)","https://openalex.org/A5020416121,https://openalex.org/A5073436917","Jianyou Li,Hiroya Tanaka","Splints,Computer science,3D printing,Splint (medicine),Process (computing),Finite element method",https://www.rhino3d.com/,,DanielGarijo,Website,https://www.rhino3d.com/,1
79,Rhinoceros,10.1186/s41205-021-00104-w,"Versions 1.0 and 2.0 were designed using the software Rhinoceros (Robert McNeel and Associates, Seattle, WA, USA) and made using digital fabrication technologies (3D printer Ultimaker 2+ and laser cutter GCC) in the OpenDot (Milano, Italy) laboratory.","https://openalex.org/A5021755357,https://openalex.org/A5023844452,https://openalex.org/A5089825270,https://openalex.org/A5007617531,https://openalex.org/A5035866965","Alessandro Terrani,Enrico Bassi,Alberto Ornaghi,Giacomo Bellani,Giuseppe Foti",3D printing,https://www.rhino3d.com/,,DanielGarijo,Website,https://www.rhino3d.com/,1
80,Rhinoceros,10.1208/s12249-018-1233-7,"Prior to the printing step, the 3D models were designed in Rhinoceros (version 4.0)","https://openalex.org/A5003836609,https://openalex.org/A5020376860,https://openalex.org/A5068782828,https://openalex.org/A5004789329,https://openalex.org/A5090119989,https://openalex.org/A5009020186,https://openalex.org/A5042773643","Heidi Öblom,Jiaxiang Zhang,Manjeet B. Pimparade,Isabell Speer,Maren Preis,Michael A. Repka,Niklas Sandler","3d printed,Extrusion,Isoniazid,Dosage form,Materials science",https://www.rhino3d.com/,,DanielGarijo,Website,https://www.rhino3d.com/,1
81,Rhinoceros,10.1063/1.5132929,The photomask design was created using the software Rhinoceros 4.0 (Robert McNeel & Associates),"https://openalex.org/A5072614875,https://openalex.org/A5068867473,https://openalex.org/A5042917780,https://openalex.org/A5059154805,https://openalex.org/A5003527421","Yu Kasahara,Yusuke Sato,Marcos K. Masukawa,Yuko Okuda,Masahiro Takinoue","Self-healing hydrogels,DNA,Biomolecule,Nanotechnology,DNA origami,Materials science,DNA nanotechnology,Nanostructure",https://www.rhino3d.com/,,DanielGarijo,Website,https://www.rhino3d.com/,1
82,Rhinos,10.3390/ma13245609,"The steps involve in selecting the organ of interest to be printed; scanning (X-ray, MRI or CT scan); creating graphics (Bio-CAD or Med-CAD); use of Rhinos software for modelling geometry and printing with cell types from the organ of interest [125]","https://openalex.org/A5055513801,https://openalex.org/A5040357722","Dasharatham G. Janagama,Hui Song","Organoid,Bone marrow,Mesenchymal stem cell,Cancer,Stem cell,Haematopoiesis",https://www.rhino3d.com/,,DanielGarijo,Website,https://www.rhino3d.com/,1
83,RHINOCEROS,10.1186/s12903-021-01450-1,"CBCT scans before root canal preparation were used to create a 3D reconstruction with RHINOCEROS 5.0 software to assess the initial canal volume, and then compared with 3D reconstructions after canal preparation to measure the increase in canal volume","https://openalex.org/A5009180164,https://openalex.org/A5091050020,https://openalex.org/A5049743435,https://openalex.org/A5090512982,https://openalex.org/A5055539520,https://openalex.org/A5069537245,https://openalex.org/A5024387206,https://openalex.org/A5068257211,https://openalex.org/A5031989394,https://openalex.org/A5063364856","Javier Caviedes-Bucheli,Néstor Ríos-Osorio,Diana Usme,Cristian Jimenez,Adriana Pinzon,Jorge Rincón,María Mercedes Azuero-Holguín,Álvaro Zubizarreta-Macho,Jose Francisco Gomez-Sosa,Hugo Roberto Muñoz","Root canal,Dentistry,Medicine,Orthodontics",https://www.rhino3d.com/,,DanielGarijo,Website,https://www.rhino3d.com/,1
84,RHINOCEROS,10.3390/dj8010001,"Obtaining the patient’s CAT scan, the extraction of the individual images, and the three-dimensional reconstruction of the patient’s periodontal pocket was carried out using RHINOCEROS 6.0 SR10 (6.10.18242.16.581) software in WINDOWS 10_x64 2016 ENTERPRISE LTSB environment with HP hardware (workstation Z240).","https://openalex.org/A5004294648,https://openalex.org/A5017742649,https://openalex.org/A5028150250","Luca Levrini,L. Paracchini,M. Nosotti",,https://www.rhino3d.com/,,DanielGarijo,Website,https://www.rhino3d.com/,1
85,Spliced Transcripts Alignment to Reference,10.7717/peerj.5759,Sequences were aligned to the equine genome with Spliced Transcripts Alignment to Reference software,"https://openalex.org/A5074001179,https://openalex.org/A5056307228,https://openalex.org/A5027995244","Laurence Tessier,Olivier Côté,Dorothee Bienzle","Sanger sequencing,Ensembl,Biology,Genetics,Sequence analysis",https://github.com/alexdobin/STAR,,JelenaDjuric,,https://github.com/alexdobin/STAR,1
86,R package STAR,10.1016/j.cub.2019.09.005,Reads from the RNA-sequencing experiments provided as raw fastq data were quality controlled and mapped to the M. truncatula reference genome version 4.0 (Mt4.0v1) [70] using R package STAR [61],"https://openalex.org/A5019330809,https://openalex.org/A5004606083,https://openalex.org/A5046964118,https://openalex.org/A5032540563,https://openalex.org/A5037051244,https://openalex.org/A5059141693,https://openalex.org/A5069643039,https://openalex.org/A5047139329,https://openalex.org/A5002054972,https://openalex.org/A5041355825,https://openalex.org/A5003679682,https://openalex.org/A5062304588,https://openalex.org/A5068484674,https://openalex.org/A5023714747,https://openalex.org/A5015269349","Katharina Schiessl,Jodi L. Stewart Lilley,Tak Lee,Ioannis Tamvakis,Wouter Kohlen,Paul Bailey,Aaron Thomas,Jakub Lupták,Ramakrishnan Karunakaran,Matthew D. Carpenter,Kirankumar S. Mysore,Jiangqi Wen,Sebastian E. Ahnert,Verônica A. Grieneisen,Giles Oldroyd","Biology,Medicago truncatula,Lateral root,Symbiosis,Root nodule,Auxin,Cytokinin,Root hair,Nod factor,Lotus japonicus,Rhizobia,Nodule (geology),Cell biology",https://github.com/alexdobin/STAR,,JelenaDjuric,,https://github.com/alexdobin/STAR,1
87,STAR,10.1186/s13568-020-01170-9,Sequences were aligned using STAR (Dobin et al,"https://openalex.org/A5087399579,https://openalex.org/A5014968407,https://openalex.org/A5088842425,https://openalex.org/A5001590873,https://openalex.org/A5086019850","B. G. Paes,Andrei Stecca Steindorff,Eduardo Fernandes Formighieri,Ildinete Silva Pereira,J. R. M. de Almeida","Pichia pastoris,Yeast,Hydrolysate,Biochemistry,Furfural",https://github.com/alexdobin/STAR,,JelenaDjuric,,https://github.com/alexdobin/STAR,1
88,STAR,10.1063/5.0054639,"Analysis was conducted using STAR, R, DeSeq2, and python software.","https://openalex.org/A5086782018,https://openalex.org/A5059609053,https://openalex.org/A5032272935,https://openalex.org/A5075875989,https://openalex.org/A5064632542,https://openalex.org/A5064900633,https://openalex.org/A5003559800,https://openalex.org/A5086699418,https://openalex.org/A5067042085,https://openalex.org/A5039405858","Evan L. Teng,Evan Masutani,Benjamin Yeoman,Jessica Fung,Rachel Lian,Brenda Ngo,Aditya Kumar,Jesse K. Placone,Valentina Lo Sardo,Adam J. Engler","Haplotype,Biology,Single-nucleotide polymorphism",https://github.com/alexdobin/STAR,,JelenaDjuric,,https://github.com/alexdobin/STAR,1
89,STAR,10.1177/1759091415593066,"Reads were aligned with the STAR (Dobin et al., 2013) aligner with the additional options (–outFilterMatchNmin 30 –outFilterMismatchNmax 5 –outFilterMismatchNoverLmax 0.05 –outFilterMultimapNmax 50)","https://openalex.org/A5060654388,https://openalex.org/A5018900180","Frédéric Lebrun-Julien,Ueli Suter","HDAC1,Neuroprotection,Histone deacetylase 2,Cell biology,Acetylation,Retinal ganglion cell,Biology,Histone deacetylase",https://github.com/alexdobin/STAR,,JelenaDjuric,,https://github.com/alexdobin/STAR,1
90,STAR,10.1177/1759091419843393,"All RNA reads were first mapped to the mouse (GRCm38) reference genome using STAR v2.5.2b release with default parameters (Dobin et al., 2013)","https://openalex.org/A5038564038,https://openalex.org/A5081364865,https://openalex.org/A5050095889,https://openalex.org/A5014473848,https://openalex.org/A5081683884,https://openalex.org/A5006838633,https://openalex.org/A5054110947,https://openalex.org/A5053781253","Miriam S. Domowicz,Wen-Ching Chan,Patricia Claudio-Vázquez,Judith Henry,Christopher B. Ware,Jorge Andrade,Glyn Dawson,Nancy B. Schwartz","Forebrain,Biology,Transcriptome,Downregulation and upregulation,Cerebellum",https://github.com/alexdobin/STAR,,JelenaDjuric,,https://github.com/alexdobin/STAR,1
91,STAR,10.1107/S2059798321001856,"Starting with RELION version 3.1, information about optics groups has been added as a second data table to STAR files","https://openalex.org/A5026727795,https://openalex.org/A5060770584,https://openalex.org/A5089155180,https://openalex.org/A5089413306","Grigory Sharov,Dustin R. Morado,Marta Carroni,J.M. de la Rosa-Trevín","Plug-in,Computer science,Software,Modular design,Pipeline (software),Flexibility (engineering),Software engineering,Key (lock)",https://github.com/alexdobin/STAR,,JelenaDjuric,,https://github.com/alexdobin/STAR,1
